rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Challenge SC ECNL G2009/10,Challenge SC,129339,1,1,0,0,3,3.0,6,1,5
2,Colorado Storm ECNL G2009/10,Colorado Storm,69485,2,2,0,0,6,3.0,5,0,5
3,Real Colorado National ECNL G2009/10,Real Colorado,69251,2,2,0,0,6,3.0,4,0,4
4,Albion Hurricanes FC ECNL G2009/10,Albion Hurricanes FC,59340,1,1,0,0,3,3.0,3,0,3
5,Dallas Texans ECNL G2009/10,Dallas Texans,134485,0,0,0,0,0,0.0,0,0,0
6,DKSC ECNL G2009/10,DKSC,68923,0,0,0,0,0,0.0,0,0,0
7,FC Dallas Youth ECNL G2009/10,FC Dallas Youth,46266,0,0,0,0,0,0.0,0,0,0
8,OK Energy FC ECNL G2009/10,Oklahoma Energy FC,61013,0,0,0,0,0,0.0,0,0,0
9,SOLAR SC ECNL G2009/10,Solar SC,66050,0,0,0,0,0,0.0,0,0,0
10,Sting Black ECNL G2009/10,Sting Soccer Club,48667,0,0,0,0,0,0.0,0,0,0
11,Sting Royal ECNL G2009/10,Sting Soccer Club,68974,0,0,0,0,0,0.0,0,0,0
12,West Side Alliance ECNL G2009/10,West Side Alliance SC,110467,0,0,0,0,0,0.0,0,0,0
13,FC Westlake ECNL G2009/10,FC Westlake ,131276,1,0,1,0,0,0.0,0,1,-1
14,Lonestar ATX Red ECNL G2009/10,Lonestar ATX,132697,1,0,1,0,0,0.0,0,3,-3
15,Colorado Rush ECNL G2009/10,Colorado Rush,94985,2,0,2,0,0,0.0,0,6,-6
16,Real Colorado Athletico ECNL G2009/10,Real Colorado,69250,2,0,2,0,0,0.0,1,8,-7
