rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Bethesda SC ECNL G2013/14,Bethesda SC,135171,0,0,0,0,0,0.0,0,0,0
2,FC DELCO ECNL G2013/14,FC DELCO,132885,0,0,0,0,0,0.0,0,0,0
3,HEX FC Bucks ECNL G2013/14,HEX FC,131588,0,0,0,0,0,0.0,0,0,0
4,Maryland United FC ECNL G2013/14,Maryland United Football Club,82349,0,0,0,0,0,0.0,0,0,0
5,Match Fit Surf ECNL G2013/14,Match Fit Surf,78082,0,0,0,0,0,0.0,0,0,0
6,PDA Blue ECNL G2013/14,PDA Blue (North),128076,0,0,0,0,0,0.0,0,0,0
7,PDA White ECNL G2013/14,PDA White (Shore),128277,0,0,0,0,0,0.0,0,0,0
8,Penn Fusion Soccer Academy ECNL G2013/14,Penn Fusion Soccer Academy,135477,0,0,0,0,0,0.0,0,0,0
9,Philadelphia Ukranian Nationals ECNL G2013/14,Philadelphia Ukrainian Nationals,134968,0,0,0,0,0,0.0,0,0,0
10,Pipeline SC ECNL G2013/14,Pipeline SC,110326,0,0,0,0,0,0.0,0,0,0
