rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Nationals SC ECNL G2008/09,Nationals,94331,2,2,0,0,6,3.0,9,3,6
2,Michigan Hawks ECNL G2008/09,Michigan Hawks,134109,1,1,0,0,3,3.0,2,0,2
3,Chicago Inter ECNL G2008/09,Chicago Inter,127909,1,1,0,0,3,3.0,3,2,1
4,Rockford Raptors FC ECNL G2008/09,Rockford Raptors FC,134307,2,1,0,1,4,2.0,6,1,5
5,Gretna Elite Academy ECNL G2008/09,Gretna Elite Academy,46765,2,1,0,1,4,2.0,5,1,4
6,St. Louis Scott Gallagher Navy ECNL G2008/09,St. Louis Scott Gallagher,134859,2,1,1,0,3,1.5,6,5,1
7,Sporting Iowa ECNL G2008/09,Sporting Iowa Central,59751,2,1,1,0,3,1.5,3,5,-2
8,St. Louis Scott Gallagher Green ECNL G2008/09,St. Louis Scott Gallagher,134867,2,0,1,1,1,0.5,4,7,-3
9,Liverpool FC MI ECNL G2008/09,Liverpool FC-IA Michigan,58647,2,0,1,1,1,0.5,3,7,-4
10,Eclipse Select Soccer Club ECNL G2008/09,Eclipse Select Soccer Club,136040,0,0,0,0,0,0.0,0,0,0
11,Kansas City Athletics ECNL G2008/09,KC Athletics,33175,0,0,0,0,0,0.0,0,0,0
12,MN Thunder Academy ECNL G2008/09,Minnesota Thunder Academy,134415,0,0,0,0,0,0.0,0,0,0
13,Sporting Blue Valley ECNL G2008/09,Sporting Blue Valley,131586,0,0,0,0,0,0.0,0,0,0
14,Missouri Rush ECNL G2008/09,Missouri Rush,114377,1,0,1,0,0,0.0,2,3,-1
15,Michigan Hawks Magic ECNL G2008/09,Michigan Hawks,134120,1,0,1,0,0,0.0,0,2,-2
16,FC Wisconsin ECNL G2008/09,FC Wisconsin Girls,53835,2,0,2,0,0,0.0,0,7,-7
