rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,St. Louis Scott Gallagher Navy ECNL G2009/10,St. Louis Scott Gallagher,134858,3,3,0,0,9,3.0,13,0,13
2,Gretna Elite Academy ECNL G2009/10,Gretna Elite Academy,131833,3,3,0,0,9,3.0,10,1,9
3,Chicago Inter ECNL G2009/10,Chicago Inter,127910,2,2,0,0,6,3.0,6,1,5
4,Michigan Hawks ECNL G2009/10,Michigan Hawks,134136,2,2,0,0,6,3.0,7,3,4
5,Kansas City Athletics ECNL G2009/10,KC Athletics,46766,1,1,0,0,3,3.0,1,0,1
6,Michigan Hawks Magic ECNL G2009/10,Michigan Hawks,134142,2,1,1,0,3,1.5,9,6,3
7,Nationals SC ECNL G2009/10,Nationals,94342,2,1,1,0,3,1.5,3,3,0
8,Sporting Iowa ECNL G2009/10,Sporting Iowa Central,59750,3,1,1,1,4,1.33,2,5,-3
9,St. Louis Scott Gallagher Green ECNL G2009/10,St. Louis Scott Gallagher,134861,3,1,2,0,3,1.0,2,4,-2
10,Rockford Raptors FC ECNL G2009/10,Rockford Raptors FC,134305,2,0,1,1,1,0.5,2,5,-3
11,MN Thunder Academy ECNL G2009/10,Minnesota Thunder Academy,134414,0,0,0,0,0,0.0,0,0,0
12,Eclipse Select Soccer Club ECNL G2009/10,Eclipse Select Soccer Club,136039,1,0,1,0,0,0.0,0,1,-1
13,Missouri Rush ECNL G2009/10,Missouri Rush,114378,2,0,2,0,0,0.0,2,5,-3
14,Sporting Blue Valley ECNL G2009/10,Sporting Blue Valley,131583,1,0,1,0,0,0.0,1,4,-3
15,FC Wisconsin ECNL G2009/10,FC Wisconsin Girls,68013,2,0,2,0,0,0.0,0,3,-3
16,Liverpool FC MI ECNL G2009/10,Liverpool FC-IA Michigan,69186,3,0,3,0,0,0.0,2,19,-17
